EM wavelength	EX wavelength	R1
nm	nm	MicroAmps
0	5	4.64264259433456
5	5	4.64174852846569
10	5	4.64575933937129
15	5	4.63695935146083
20	5	4.64580465797541
25	5	4.64546209815638
30	5	4.64535413459293
35	5	4.64176894472573
40	5	4.64890213879069
45	5	4.64133098695621
50	5	4.64727076822448
55	5	4.6455379801154
60	5	4.64536305335526
65	5	4.64906477459609
70	5	4.64532114509054
75	5	4.64596179298727
80	5	4.64833870036764
85	5	4.64648571877552
90	5	4.6456697626489
95	5	4.64901111706363
100	5	4.64820849711883
105	5	4.64846040447083
110	5	4.64372663975919
115	5	4.64718100076722
120	5	4.6452900629368
125	5	4.64451468756024
130	5	4.64799234111009
135	5	4.64830768687846
140	5	4.6434231195525
145	5	4.65096060286847
150	5	4.64688269143707
155	5	4.64367501164571
160	5	4.64764941508012
165	5	4.64775783640725
170	5	4.65070871077526
175	5	4.65009657392627
180	5	4.64681065469294
185	5	4.65061389265876
190	5	4.6513837596124
195	5	4.64997510633431
200	5	4.64758599955193
205	5	4.64711012369108
210	5	4.64746084696237
215	5	4.64935894879435
220	5	4.64514340308377
225	5	4.6450378732972
230	5	4.64680784707572
235	5	4.64676648049802
240	5	4.64699559121885
245	5	4.64827089793754
250	5	4.6501626368544
255	5	4.64802697093233
260	5	4.6468385782773
265	5	4.64861560924585
270	5	4.65003928480197
275	5	4.65075064955756
280	5	4.64953106030788
285	5	4.65169511520738
290	5	4.64848037059658
295	5	4.65250179399012
300	5	4.65348182787772
305	5	4.65177150070644
310	5	4.64893942364226
315	5	4.65006420240484
320	5	4.65073719130543
325	5	4.64969075116694
330	5	4.65194147598947
335	5	4.64896463116213
340	5	4.64850306041622
345	5	4.65119391738574
350	5	4.6485150385658
355	5	4.6510663233899
360	5	4.6483917856955
365	5	4.65129765426457
370	5	4.64788742167509
375	5	4.65034408674696
380	5	4.648108742784
385	5	4.64910662182565
390	5	4.65300994981966
395	5	4.65346198382227
400	5	4.64864163311094
405	5	4.6559585048517
410	5	4.65270015825058
415	5	4.64835511882489
420	5	4.65493037526034
