EM wavelength	EX wavelength	S1
nm	nm	CPS
0	5	13959030
5	5	192450
10	5	16420
15	5	7870
20	5	5490
25	5	4890
30	5	3940
35	5	3690
40	5	3410
45	5	3560
50	5	3030
55	5	2570
60	5	2740
65	5	2950
70	5	2600
75	5	2850
80	5	2370
85	5	2430
90	5	2470
95	5	2370
100	5	1910
105	5	2390
110	5	2100
115	5	2120
120	5	2030
125	5	2440
130	5	2290
135	5	2370
140	5	2550
145	5	2050
150	5	2220
155	5	2180
160	5	2300
165	5	2300
170	5	2230
175	5	2240
180	5	2190
185	5	1990
190	5	2180
195	5	2320
200	5	2300
205	5	2020
210	5	2060
215	5	1860
220	5	2130
225	5	2340
230	5	1970
235	5	2210
240	5	2310
245	5	2210
250	5	2560
255	5	2180
260	5	2130
265	5	2080
270	5	2220
275	5	2120
280	5	2180
285	5	2320
290	5	2360
295	5	2470
300	5	2450
305	5	2500
310	5	2540
315	5	3000
320	5	3020
325	5	3280
330	5	3520
335	5	4110
340	5	4120
345	5	4650
350	5	6080
355	5	7070
360	5	7590
365	5	8630
370	5	10540
375	5	11690
380	5	14650
385	5	16660
390	5	20600
395	5	27010
400	5	30000
405	5	34900
410	5	44280
415	5	53500
420	5	63490
425	5	75950
430	5	86200
435	5	104480
440	5	122990
445	5	142010
450	5	185320
455	5	204240
460	5	256410
465	5	340620
470	5	355980
475	5	322060
480	5	385680
485	5	390090
490	5	419030
495	5	403560
500	5	403640
505	5	427190
510	5	462590
515	5	510160
520	5	561470
525	5	612390
530	5	669260
535	5	732300
540	5	795050
545	5	856550
550	5	921020
555	5	997050
560	5	1063130
565	5	1131270
570	5	1197100
575	5	1270490
580	5	1356020
585	5	1433300
590	5	1496090
595	5	1527120
600	5	1544550
605	5	1572610
610	5	1635950
615	5	1706950
620	5	1750150
625	5	1722010
630	5	1701920
635	5	1656400
640	5	1645250
645	5	1713790
650	5	1758300
655	5	1685730
660	5	1679420
665	5	1713060
670	5	1700610
675	5	1684270
680	5	1697750
685	5	1815040
690	5	1720420
695	5	1514220
700	5	1406180
705	5	1354900
710	5	1400880
715	5	1256630
720	5	998400
725	5	891870
730	5	931400
735	5	899090
740	5	843270
745	5	784190
750	5	768230
755	5	734730
760	5	825950
765	5	1095840
770	5	634150
775	5	532180
780	5	492620
785	5	494690
790	5	558140
795	5	511010
800	5	502800
805	5	442760
810	5	440480
815	5	449400
820	5	1517350
825	5	2536330
830	5	999260
835	5	609870
840	5	245670
845	5	93000
850	5	48060
855	5	33600
860	5	25090
865	5	19770
870	5	17400
875	5	16770
880	5	33540
885	5	25550
890	5	10430
895	5	11980
900	5	8730
905	5	8970
910	5	6720
915	5	8870
920	5	7690
925	5	6910
930	5	6570
935	5	7560
940	5	6310
945	5	7230
950	5	6640
955	5	6250
960	5	6600
965	5	6670
970	5	6390
975	5	6330
980	5	6730
985	5	6060
990	5	5660
995	5	5840
1000	5	8150
1005	5	6830
1010	5	5200
1015	5	4310
1020	5	4220
1025	5	3870
1030	5	3620
1035	5	3530
1040	5	3310
1045	5	3260
1050	5	3350
1055	5	3140
1060	5	3370
1065	5	3040
1070	5	3100
1075	5	3180
1080	5	2580
1085	5	2820
1090	5	2500
1095	5	2630
1100	5	2560
1105	5	2380
1110	5	2720
1115	5	2470
1120	5	2210
1125	5	2250
1130	5	2550
1135	5	1980
1140	5	2560
1145	5	2610
1150	5	2540
0	10	6088250
5	10	44660
10	10	4130
15	10	2400
20	10	1590
25	10	1710
30	10	1480
35	10	1500
40	10	1420
45	10	1550
50	10	1430
55	10	1390
60	10	1360
65	10	1360
70	10	1450
75	10	1500
80	10	1180
85	10	1070
90	10	1060
95	10	1330
100	10	1180
105	10	1240
110	10	1010
115	10	1100
120	10	1330
125	10	1330
130	10	1230
135	10	1210
140	10	1190
145	10	1200
150	10	950
155	10	1200
160	10	1500
165	10	1160
170	10	1460
175	10	1390
180	10	1190
185	10	1280
190	10	1390
195	10	1370
200	10	1200
205	10	1440
210	10	1230
215	10	1280
220	10	880
225	10	1200
230	10	1180
235	10	1250
240	10	1230
245	10	1120
250	10	1280
255	10	1020
260	10	1100
265	10	1140
270	10	1060
275	10	1230
280	10	1120
285	10	1320
290	10	1290
295	10	1550
300	10	1410
305	10	1310
310	10	1390
315	10	1500
320	10	1270
325	10	1550
330	10	1720
335	10	1790
340	10	2110
345	10	2340
350	10	2270
355	10	2610
360	10	3210
365	10	3150
370	10	4250
375	10	4550
380	10	4940
385	10	5560
390	10	6920
395	10	8480
400	10	10170
405	10	10970
410	10	13480
415	10	16090
420	10	19190
425	10	21990
430	10	26510
435	10	30540
440	10	35820
445	10	41770
450	10	53410
455	10	57830
460	10	71400
465	10	95800
470	10	97880
475	10	87850
480	10	102770
485	10	104030
490	10	115520
495	10	111030
500	10	109760
505	10	113750
510	10	120920
515	10	129800
520	10	140390
525	10	151550
530	10	162980
535	10	175020
540	10	191450
545	10	205870
550	10	221630
555	10	236240
560	10	247450
565	10	263350
570	10	278450
575	10	289290
580	10	312690
585	10	326300
590	10	337190
595	10	344730
600	10	347480
605	10	355020
610	10	368650
615	10	385590
620	10	395770
625	10	387800
630	10	380570
635	10	369400
640	10	365930
645	10	382000
650	10	390430
655	10	376910
660	10	374660
665	10	383320
670	10	386810
675	10	377620
680	10	383460
685	10	408060
690	10	386190
695	10	342970
700	10	313210
705	10	300640
710	10	323530
715	10	299240
720	10	236570
725	10	210790
730	10	219450
735	10	207130
740	10	190410
745	10	175920
750	10	170280
755	10	163710
760	10	186230
765	10	243420
770	10	141120
775	10	119220
780	10	109360
785	10	111230
790	10	126500
795	10	116500
800	10	113870
805	10	101660
810	10	99640
815	10	103220
820	10	352320
825	10	586250
830	10	227190
835	10	139880
840	10	54790
845	10	21510
850	10	11920
855	10	8380
860	10	6340
865	10	5610
870	10	4650
875	10	4670
880	10	8070
885	10	6680
890	10	3320
895	10	3860
900	10	2590
905	10	3030
910	10	2260
915	10	2920
920	10	2520
925	10	2770
930	10	2600
935	10	2430
940	10	2260
945	10	2420
950	10	2190
955	10	2030
960	10	2410
965	10	2090
970	10	2370
975	10	2360
980	10	2550
985	10	2330
990	10	2060
995	10	2190
1000	10	2270
1005	10	2260
1010	10	1850
1015	10	1910
1020	10	1630
1025	10	1560
1030	10	1440
1035	10	1460
1040	10	1630
1045	10	1740
1050	10	1420
1055	10	1310
1060	10	1480
1065	10	1370
1070	10	1450
1075	10	1490
1080	10	1260
1085	10	1400
1090	10	1310
1095	10	1210
1100	10	1300
1105	10	1230
1110	10	1270
1115	10	1170
1120	10	1230
1125	10	1110
1130	10	1360
1135	10	1180
1140	10	1300
1145	10	1490
1150	10	1300
0	15	3038970
5	15	21010
10	15	2140
15	15	1820
20	15	1490
25	15	1280
30	15	1330
35	15	1290
40	15	950
45	15	1230
50	15	1210
55	15	1120
60	15	1200
65	15	980
70	15	1120
75	15	1190
80	15	1120
85	15	1050
90	15	1070
95	15	870
100	15	920
105	15	950
110	15	1080
115	15	1270
120	15	860
125	15	1050
130	15	960
135	15	1010
140	15	1040
145	15	1070
150	15	1110
155	15	960
160	15	1000
165	15	920
170	15	1070
175	15	880
180	15	1140
185	15	1100
190	15	1070
195	15	1220
200	15	1250
205	15	1150
210	15	970
215	15	970
220	15	1160
225	15	1070
230	15	1010
235	15	820
240	15	1060
245	15	920
250	15	1050
255	15	950
260	15	920
265	15	950
270	15	1020
275	15	1050
280	15	1200
285	15	1210
290	15	1230
295	15	1020
300	15	1070
305	15	1070
310	15	1000
315	15	1230
320	15	1420
325	15	1070
330	15	1310
335	15	1210
340	15	1580
345	15	1640
350	15	1630
355	15	2150
360	15	2160
365	15	2630
370	15	2530
375	15	3070
380	15	3350
385	15	4250
390	15	4740
395	15	6280
400	15	6450
405	15	7920
410	15	9270
415	15	10650
420	15	12980
425	15	13630
430	15	16040
435	15	19360
440	15	21950
445	15	25700
450	15	32920
455	15	35020
460	15	42920
465	15	57480
470	15	57340
475	15	51460
480	15	59640
485	15	62700
490	15	71500
495	15	67470
500	15	66100
505	15	65090
510	15	69050
515	15	75040
520	15	77700
525	15	85550
530	15	91130
535	15	96580
540	15	105520
545	15	111270
550	15	118770
555	15	125270
560	15	132190
565	15	137280
570	15	143120
575	15	148880
580	15	158720
585	15	163310
590	15	171670
595	15	170780
600	15	172990
605	15	178190
610	15	179510
615	15	186910
620	15	192680
625	15	186720
630	15	182950
635	15	177390
640	15	176920
645	15	182540
650	15	185270
655	15	178630
660	15	176370
665	15	179390
670	15	179140
675	15	176560
680	15	180610
685	15	189710
690	15	179230
695	15	157470
700	15	141930
705	15	138200
710	15	151450
715	15	140740
720	15	116060
725	15	102660
730	15	103050
735	15	96710
740	15	87920
745	15	78430
750	15	78450
755	15	73680
760	15	84920
765	15	109770
770	15	63880
775	15	53300
780	15	50460
785	15	51900
790	15	57800
795	15	52600
800	15	52450
805	15	47190
810	15	44980
815	15	47290
820	15	161880
825	15	268740
830	15	103730
835	15	62240
840	15	25500
845	15	10300
850	15	5910
855	15	4140
860	15	3450
865	15	2920
870	15	2480
875	15	2700
880	15	4660
885	15	4160
890	15	1940
895	15	2410
900	15	2160
905	15	2110
910	15	1710
915	15	2160
920	15	1820
925	15	1960
930	15	1680
935	15	1890
940	15	1990
945	15	1570
950	15	1660
955	15	1590
960	15	1720
965	15	2000
970	15	1660
975	15	1700
980	15	1610
985	15	1740
990	15	1510
995	15	1690
1000	15	1670
1005	15	1730
1010	15	1480
1015	15	1450
1020	15	1270
1025	15	1410
1030	15	1370
1035	15	1290
1040	15	1290
1045	15	1100
1050	15	1240
1055	15	1290
1060	15	1080
1065	15	1030
1070	15	1140
1075	15	1110
1080	15	850
1085	15	1060
1090	15	1130
1095	15	1060
1100	15	1080
1105	15	870
1110	15	1050
1115	15	1260
1120	15	1040
1125	15	1010
1130	15	1040
1135	15	1040
1140	15	1190
1145	15	1030
1150	15	1050
0	20	2063900
5	20	13760
10	20	1960
15	20	1350
20	20	1370
25	20	1040
30	20	930
35	20	1160
40	20	1170
45	20	1260
50	20	1140
55	20	980
60	20	980
65	20	1140
70	20	850
75	20	980
80	20	920
85	20	860
90	20	1090
95	20	1070
100	20	1030
105	20	910
110	20	880
115	20	990
120	20	910
125	20	1070
130	20	1110
135	20	1060
140	20	1020
145	20	1180
150	20	970
155	20	1040
160	20	1060
165	20	960
170	20	930
175	20	940
180	20	1100
185	20	980
190	20	920
195	20	1110
200	20	1020
205	20	900
210	20	1040
215	20	930
220	20	940
225	20	1130
230	20	760
235	20	960
240	20	1030
245	20	1040
250	20	1030
255	20	850
260	20	1090
265	20	1140
270	20	1150
275	20	1010
280	20	900
285	20	1040
290	20	1070
295	20	1090
300	20	1160
305	20	1050
310	20	1170
315	20	1000
320	20	1280
325	20	1330
330	20	1200
335	20	1330
340	20	1280
345	20	1600
350	20	1610
355	20	1720
360	20	1770
365	20	2230
370	20	2220
375	20	2880
380	20	3260
385	20	3330
390	20	3640
395	20	4640
400	20	5400
405	20	6080
410	20	6670
415	20	8570
420	20	9880
425	20	10590
430	20	12890
435	20	14700
440	20	17500
445	20	19460
450	20	25620
455	20	26970
460	20	33590
465	20	41750
470	20	43700
475	20	38230
480	20	43480
485	20	45070
490	20	50710
495	20	50560
500	20	48480
505	20	49000
510	20	50100
515	20	55370
520	20	58030
525	20	61900
530	20	65010
535	20	70640
540	20	74220
545	20	81590
550	20	84580
555	20	87080
560	20	92320
565	20	97610
570	20	103870
575	20	106930
580	20	111110
585	20	117540
590	20	119170
595	20	121350
600	20	118890
605	20	121700
610	20	126110
615	20	129790
620	20	134250
625	20	128130
630	20	125450
635	20	123330
640	20	120430
645	20	123940
650	20	127230
655	20	121230
660	20	118810
665	20	121450
670	20	121240
675	20	118510
680	20	118980
685	20	127010
690	20	120290
695	20	103320
700	20	95790
705	20	90900
710	20	100360
715	20	99510
720	20	80410
725	20	72240
730	20	73480
735	20	64820
740	20	58940
745	20	53240
750	20	51120
755	20	49530
760	20	56620
765	20	71580
770	20	40840
775	20	35960
780	20	33320
785	20	33240
790	20	36900
795	20	33840
800	20	34550
805	20	29730
810	20	29090
815	20	31610
820	20	107910
825	20	172310
830	20	66500
835	20	39960
840	20	16850
845	20	6990
850	20	3640
855	20	3310
860	20	2700
865	20	2410
870	20	2230
875	20	1990
880	20	3450
885	20	2760
890	20	1770
895	20	1830
900	20	1580
905	20	1680
910	20	1530
915	20	1560
920	20	1410
925	20	1530
930	20	1440
935	20	1430
940	20	1480
945	20	1490
950	20	1160
955	20	1430
960	20	1340
965	20	1460
970	20	1430
975	20	1570
980	20	1440
985	20	1310
990	20	1360
995	20	1630
1000	20	1480
1005	20	1590
1010	20	1500
1015	20	1450
1020	20	1070
1025	20	1230
1030	20	960
1035	20	1110
1040	20	1120
1045	20	1070
1050	20	1030
1055	20	1090
1060	20	1030
1065	20	1090
1070	20	1050
1075	20	1040
1080	20	1120
1085	20	1120
1090	20	1160
1095	20	980
1100	20	1100
1105	20	1100
1110	20	1120
1115	20	1240
1120	20	1030
1125	20	1070
1130	20	940
1135	20	1080
1140	20	1010
1145	20	1100
1150	20	1070
0	25	1660040
5	25	10770
10	25	1710
15	25	1000
20	25	1330
25	25	970
30	25	1050
35	25	1050
40	25	1070
45	25	1130
50	25	1090
55	25	890
60	25	1200
65	25	910
70	25	900
75	25	1030
80	25	1130
85	25	990
90	25	1190
95	25	850
100	25	980
105	25	1050
110	25	1100
115	25	910
120	25	1150
125	25	950
130	25	880
135	25	970
140	25	1050
