EM wavelength	EX wavelength	R1
nm	nm	MicroAmps
0	5	4.30648255566665
5	5	4.3115337489714
10	5	4.30959898026881
15	5	4.31043983111011
20	5	4.30685390882102
25	5	4.31295443380482
30	5	4.30574958446546
35	5	4.31155885730914
40	5	4.30613941601364
45	5	4.31453603020045
50	5	4.30860737258955
55	5	4.31272531545459
60	5	4.31304236257797
65	5	4.31368935050164
70	5	4.30961860307181
75	5	4.30976089891111
80	5	4.3126653102658
85	5	4.30977829393087
90	5	4.31086380419927
95	5	4.30560596874089
100	5	4.31161211811307
105	5	4.30884956009279
110	5	4.31254076039842
115	5	4.31029818376936
120	5	4.31594239466014
125	5	4.30992875322243
130	5	4.31133817706937
135	5	4.31181213795217
140	5	4.31577945367896
145	5	4.3163289760862
150	5	4.30763544111906
155	5	4.31376100577604
160	5	4.31140189014395
165	5	4.31328466452212
170	5	4.31036055407048
175	5	4.31194804798816
180	5	4.30850906021031
185	5	4.31546326867718
190	5	4.30954687150347
195	5	4.31559992639385
200	5	4.31058025774773
205	5	4.31519264642015
210	5	4.31209349476745
215	5	4.30988505204997
220	5	4.31046656450891
225	5	4.30897628433764
230	5	4.31152598987706
235	5	4.30828842574692
240	5	4.31467589989226
245	5	4.30928521378513
250	5	4.31475296440745
255	5	4.30899216110788
260	5	4.31501880303404
265	5	4.31274621999589
270	5	4.31065987048073
275	5	4.31248650777318
280	5	4.31101989398407
285	5	4.31489473381852
290	5	4.31079990801922
295	5	4.31574977533384
300	5	4.31007757219414
305	5	4.31799651761237
310	5	4.30915064652259
315	5	4.31765083737094
320	5	4.31431183280976
325	5	4.31445986595383
330	5	4.31252079427266
335	5	4.31238146626787
340	5	4.31949776885312
345	5	4.31145437274964
350	5	4.31773146481342
355	5	4.31281646383228
360	5	4.31926472136466
365	5	4.30947238572366
370	5	4.31854488798102
375	5	4.31324613607922
380	5	4.31614359705541
385	5	4.32157136202045
390	5	4.31766666073541
395	5	4.31544921533227
400	5	4.31656334345994
405	5	4.31724486965312
410	5	4.31594194452586
415	5	4.32060419129221
420	5	4.31803986020328
425	5	4.31872665830816
430	5	4.31190839039486
435	5	4.31690572017349
440	5	4.31264246785827
445	5	4.31636549036892
450	5	4.31208330189622
455	5	4.31857627531054
460	5	4.30987426408596
465	5	4.31782324643086
470	5	4.30920682175527
475	5	4.31537521020433
480	5	4.31195978199711
485	5	4.31417209281766
490	5	4.31580919305924
495	5	4.31416193046401
500	5	4.31570063440301
505	5	4.312029880875
510	5	4.31620614283261
515	5	4.30916602738217
520	5	4.32198746157435
