EM wavelength	EX wavelength	S1
nm	nm	CPS
0	5	12995620
5	5	350670
10	5	114010
15	5	76810
20	5	65900
25	5	60880
30	5	58630
35	5	58260
40	5	52060
45	5	47070
50	5	22150
55	5	11320
60	5	10890
65	5	11320
70	5	10600
75	5	10800
80	5	9940
85	5	10490
90	5	10260
95	5	10570
100	5	10110
105	5	10360
110	5	10320
115	5	10060
120	5	9580
125	5	9860
130	5	10350
135	5	10400
140	5	10280
145	5	10250
150	5	9780
155	5	9680
160	5	10060
165	5	10400
170	5	10210
175	5	10710
180	5	9980
185	5	10130
190	5	10750
195	5	10040
200	5	10000
205	5	10140
210	5	10850
215	5	11430
220	5	10780
225	5	10580
230	5	10540
235	5	10620
240	5	11110
245	5	10770
250	5	10980
255	5	11300
260	5	12590
265	5	12940
270	5	14460
275	5	17270
280	5	21200
285	5	26050
290	5	32330
295	5	39930
300	5	51230
305	5	66840
310	5	83750
315	5	104100
320	5	131110
325	5	158280
330	5	195020
335	5	235550
340	5	281860
345	5	341050
350	5	404130
355	5	469660
360	5	548170
365	5	634840
370	5	725970
375	5	834170
380	5	962670
385	5	1112650
390	5	1307530
395	5	1552720
400	5	1747530
405	5	1978000
410	5	2247480
415	5	2509520
420	5	2787020
425	5	2993820
430	5	3201040
435	5	3505510
440	5	3735700
445	5	3986240
450	5	4483320
455	5	4610570
460	5	5112140
465	5	5901470
470	5	5929910
475	5	5309110
480	5	5611470
485	5	5310210
490	5	5350000
495	5	4970880
500	5	4750510
505	5	4717580
510	5	4740870
515	5	4801820
520	5	4878790
525	5	4920850
530	5	4954990
535	5	4978230
540	5	5023010
545	5	5041250
550	5	5020930
555	5	5012270
560	5	4970670
565	5	4928600
570	5	4896730
575	5	4842590
580	5	4785270
585	5	4735580
590	5	4619650
595	5	4493580
600	5	4372650
605	5	4260290
610	5	4175690
615	5	4119130
620	5	3987170
625	5	3808350
630	5	3614400
635	5	3384190
640	5	3225490
645	5	3199750
650	5	3051150
655	5	2830490
660	5	2706710
665	5	2628660
670	5	2514760
675	5	2391560
680	5	2372030
685	5	2330270
690	5	2108370
695	5	1839680
700	5	1691480
705	5	1626990
710	5	1624920
715	5	1375330
720	5	1110250
725	5	1004330
730	5	1029870
735	5	922280
740	5	875210
745	5	797420
750	5	766100
755	5	711790
760	5	859330
765	5	884210
770	5	563930
775	5	488970
780	5	458000
785	5	466480
790	5	481840
795	5	464550
800	5	426250
805	5	389490
810	5	378610
815	5	406830
820	5	1452950
825	5	1344610
830	5	524320
835	5	355210
840	5	196100
845	5	111940
850	5	93330
855	5	84010
860	5	78680
865	5	75850
870	5	73130
875	5	73420
880	5	80360
885	5	69080
890	5	64140
895	5	63800
900	5	65390
905	5	59980
910	5	54340
915	5	56610
920	5	53670
925	5	55820
930	5	51170
935	5	58220
940	5	45170
945	5	47720
950	5	38530
955	5	37830
960	5	40100
965	5	37880
970	5	35280
975	5	32540
980	5	30110
985	5	29670
990	5	25010
995	5	24210
1000	5	28410
1005	5	24320
1010	5	20230
1015	5	18130
1020	5	16370
1025	5	15110
1030	5	15220
1035	5	13630
1040	5	13370
1045	5	12680
1050	5	11550
1055	5	11030
1060	5	10430
1065	5	10230
1070	5	9600
1075	5	9240
1080	5	9110
1085	5	8630
1090	5	8360
1095	5	8090
1100	5	7800
1105	5	8020
1110	5	7610
1115	5	7860
1120	5	7230
1125	5	7020
1130	5	6820
1135	5	7190
1140	5	7480
1145	5	7150
1150	5	7270
0	10	14088540
5	10	134070
10	10	39420
15	10	26240
20	10	22560
25	10	20040
30	10	19330
35	10	18550
40	10	16430
45	10	15020
50	10	8490
55	10	5950
60	10	6010
65	10	5190
70	10	5330
75	10	5000
80	10	5730
85	10	5260
90	10	4720
95	10	4990
100	10	5030
105	10	5060
110	10	5290
115	10	5090
120	10	5100
125	10	5260
130	10	5340
135	10	5170
140	10	5170
145	10	4740
150	10	5150
155	10	5430
160	10	5280
165	10	4930
170	10	4460
175	10	5020
180	10	4870
185	10	4950
190	10	5510
195	10	4580
200	10	4990
205	10	5340
210	10	5030
215	10	5530
220	10	5140
225	10	5030
230	10	5720
235	10	5420
240	10	5150
245	10	5230
250	10	5660
255	10	5800
260	10	6340
265	10	6620
270	10	7940
275	10	8720
280	10	10560
285	10	13330
290	10	16030
295	10	21690
300	10	26120
305	10	34200
310	10	42280
315	10	53080
320	10	65340
325	10	80290
330	10	96200
335	10	118830
340	10	139830
345	10	169590
350	10	204870
355	10	241380
360	10	277510
365	10	323350
370	10	369100
375	10	428530
380	10	494080
385	10	567560
390	10	678920
395	10	807820
400	10	914760
405	10	1040320
410	10	1204210
415	10	1347270
420	10	1501420
425	10	1614490
430	10	1744070
435	10	1906800
440	10	2050910
445	10	2201980
450	10	2520190
455	10	2586830
460	10	2915310
465	10	3410460
470	10	3441860
475	10	3039260
480	10	3227600
485	10	3059930
490	10	3082170
495	10	2869280
500	10	2735890
505	10	2720030
510	10	2750400
515	10	2791870
520	10	2831460
525	10	2875430
530	10	2907780
535	10	2926340
540	10	2964280
545	10	2966980
550	10	2972420
555	10	2970710
560	10	2947260
565	10	2939960
570	10	2917530
575	10	2887030
580	10	2871890
585	10	2840100
590	10	2777330
595	10	2702380
600	10	2624250
605	10	2560730
610	10	2514710
615	10	2481280
620	10	2417980
625	10	2294160
630	10	2172870
635	10	2037490
640	10	1945840
645	10	1920000
650	10	1833620
655	10	1697840
660	10	1634210
665	10	1579720
670	10	1522970
675	10	1446260
680	10	1425440
685	10	1406580
690	10	1278510
695	10	1107620
700	10	1012160
705	10	964080
710	10	1007590
715	10	861340
720	10	694340
725	10	624280
730	10	631280
735	10	557360
